gas,de0,re0,c60,de2,re2,c62,b,mu,e_rate,ie_rate,tot_rate
H2,7.27039879296524,6.392774468860418,156.0,168.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.97771,0.13359,4.1113
H2,7.27039879296524,6.392774468860418,156.0,172.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.89354,0.15833,4.05188
H2,7.27039879296524,6.392774468860418,156.0,176.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.80457,0.16091,3.96548
H2,7.27039879296524,6.392774468860418,156.0,180.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.99189,0.1413299999999999,4.13323
H2,7.27039879296524,6.392774468860418,156.0,184.0,5.517380194079086,7.8,60.853,1.9701811593091711,4.04882,0.12894,4.17776
H2,7.27039879296524,6.392774468860418,156.0,188.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.9653,0.15001,4.11532
H2,7.27039879296524,6.392774468860418,156.0,192.0,5.517380194079086,7.8,60.853,1.9701811593091711,4.089700000000001,0.17474,4.2644400000000005
H2,7.27039879296524,6.392774468860418,156.0,196.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.948280000000001,0.1683,4.11658
H2,7.27039879296524,6.392774468860418,156.0,200.0,5.517380194079086,7.8,60.853,1.9701811593091711,4.09159,0.14189,4.23348
H2,7.27039879296524,6.392774468860418,156.0,204.0,5.517380194079086,7.8,60.853,1.9701811593091711,4.0937,0.13725,4.23095
H2,7.27039879296524,6.392774468860418,156.0,208.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.98354,0.16318,4.146719999999999
H2,7.27039879296524,6.392774468860418,156.0,212.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.99973,0.18563,4.18536
H2,7.27039879296524,6.392774468860418,156.0,216.0,5.517380194079086,7.8,60.853,1.9701811593091711,4.083629999999999,0.17234,4.25598
H2,7.27039879296524,6.392774468860418,156.0,220.0,5.517380194079086,7.8,60.853,1.9701811593091711,4.17382,0.14285,4.31667
H2,7.27039879296524,6.392774468860418,156.0,1.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.5666,0.00014,3.56674
H2,7.27039879296524,6.392774468860418,156.0,2.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.5666,0.0002199999999999,3.56682
H2,7.27039879296524,6.392774468860418,156.0,3.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.5667,0.0002199999999999,3.56693
H2,7.27039879296524,6.392774468860418,156.0,4.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.5668800000000003,0.00019,3.56707
H2,7.27039879296524,6.392774468860418,156.0,5.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.56707,0.00018,3.56725
H2,7.27039879296524,6.392774468860418,156.0,6.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.56721,0.00028,3.56749
H2,7.27039879296524,6.392774468860418,156.0,7.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.56727,0.0005,3.56777
H2,7.27039879296524,6.392774468860418,156.0,8.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.56729,0.00083,3.56812
H2,7.27039879296524,6.392774468860418,156.0,9.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.56734,0.00121,3.56855
H2,7.27039879296524,6.392774468860418,156.0,10.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.5675100000000004,0.00154,3.5690599999999995
H2,7.27039879296524,6.392774468860418,156.0,24.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.62624,0.0076599999999999,3.6339
H2,7.27039879296524,6.392774468860418,156.0,28.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.5117200000000004,0.01134,3.52306
H2,7.27039879296524,6.392774468860418,156.0,32.0,5.517380194079086,15.6,60.853,1.9701811593091711,2.66287,0.01779,2.68066
H2,7.27039879296524,6.392774468860418,156.0,36.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.60932,0.01908,3.62839
H2,7.27039879296524,6.392774468860418,156.0,40.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.76495,0.02189,3.78684
H2,7.27039879296524,6.392774468860418,156.0,44.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.07812,0.02773,3.10585
H2,7.27039879296524,6.392774468860418,156.0,48.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.60086,0.03025,3.63111
H2,7.27039879296524,6.392774468860418,156.0,52.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.9117,0.03367,3.94537
H2,7.27039879296524,6.392774468860418,156.0,56.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.2665,0.03898,3.30548
H2,7.27039879296524,6.392774468860418,156.0,60.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.58029,0.04185,3.62214
H2,7.27039879296524,6.392774468860418,156.0,64.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.88605,0.04538,3.93142
H2,7.27039879296524,6.392774468860418,156.0,68.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.36116,0.05015,3.41131
H2,7.27039879296524,6.392774468860418,156.0,72.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.5740899999999995,0.05595,3.63004
H2,7.27039879296524,6.392774468860418,156.0,76.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.73171,0.05686,3.78857
H2,7.27039879296524,6.392774468860418,156.0,80.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.95339,0.06011,4.0135000000000005
H2,7.27039879296524,6.392774468860418,156.0,84.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.47917,0.06633,3.5455
H2,7.27039879296524,6.392774468860418,156.0,88.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.70447,0.07367,3.778140000000001
H2,7.27039879296524,6.392774468860418,156.0,92.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.78612,0.07325,3.85937
H2,7.27039879296524,6.392774468860418,156.0,96.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.96411,0.07334,4.03745
H2,7.27039879296524,6.392774468860418,156.0,100.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.55873,0.07865,3.63737
H2,7.27039879296524,6.392774468860418,156.0,104.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.75818,0.08928,3.84747
H2,7.27039879296524,6.392774468860418,156.0,108.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.82669,0.09232,3.91901
H2,7.27039879296524,6.392774468860418,156.0,112.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.93013,0.0902999999999999,4.02043
H2,7.27039879296524,6.392774468860418,156.0,116.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.62274,0.0895099999999999,3.71224
H2,7.27039879296524,6.392774468860418,156.0,120.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.76519,0.09715,3.862340000000001
H2,7.27039879296524,6.392774468860418,156.0,124.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.88455,0.1099,3.99445
H2,7.27039879296524,6.392774468860418,156.0,128.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.85082,0.11097,3.9618
H2,7.27039879296524,6.392774468860418,156.0,132.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.95469,0.10536,4.06004
H2,7.27039879296524,6.392774468860418,156.0,136.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.744450000000001,0.1028699999999999,3.84732
H2,7.27039879296524,6.392774468860418,156.0,140.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.90077,0.11395,4.01471
H2,7.27039879296524,6.392774468860418,156.0,144.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.93163,0.12557,4.05719
H2,7.27039879296524,6.392774468860418,156.0,148.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.90737,0.12972,4.03709
H2,7.27039879296524,6.392774468860418,156.0,152.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.83181,0.1217,3.9535200000000006
H2,7.27039879296524,6.392774468860418,156.0,156.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.86579,0.1153199999999999,3.98111
H2,7.27039879296524,6.392774468860418,156.0,160.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.98578,0.123,4.108779999999999
H2,7.27039879296524,6.392774468860418,156.0,164.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.98205,0.13916,4.12121
H2,7.27039879296524,6.392774468860418,156.0,168.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.96249,0.1473799999999999,4.10987
H2,7.27039879296524,6.392774468860418,156.0,172.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.89319,0.1393299999999999,4.03252
H2,7.27039879296524,6.392774468860418,156.0,176.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.96097,0.1271,4.08807
H2,7.27039879296524,6.392774468860418,156.0,180.0,5.517380194079086,15.6,60.853,1.9701811593091711,4.061850000000001,0.12847,4.19032
H2,7.27039879296524,6.392774468860418,156.0,184.0,5.517380194079086,15.6,60.853,1.9701811593091711,4.06754,0.14533,4.212870000000001
H2,7.27039879296524,6.392774468860418,156.0,188.0,5.517380194079086,15.6,60.853,1.9701811593091711,3.99674,0.16121,4.15795
H2,7.27039879296524,6.392774468860418,156.0,192.0,5.517380194079086,15.6,60.853,1.9701811593091711,4.076300000000001,0.15947,4.23577
H2,7.27039879296524,6.392774468860418,156.0,196.0,5.517380194079086,15.6,60.853,1.9701811593091711,4.034190000000001,0.14376,4.17795
H2,7.27039879296524,6.392774468860418,156.0,200.0,5.517380194079086,15.6,60.853,1.9701811593091711,4.14434,0.13404,4.27838
H2,7.27039879296524,6.392774468860418,156.0,204.0,5.517380194079086,15.6,60.853,1.9701811593091711,4.16921,0.14426,4.313470000000001
H2,7.27039879296524,6.392774468860418,156.0,208.0,5.517380194079086,15.6,60.853,1.9701811593091711,4.09987,0.16532,4.2651900000000005
H2,7.27039879296524,6.392774468860418,156.0,212.0,5.517380194079086,15.6,60.853,1.9701811593091711,4.3079,0.17611,4.4840100000000005
H2,7.27039879296524,6.392774468860418,156.0,216.0,5.517380194079086,15.6,60.853,1.9701811593091711,4.10332,0.16545,4.26877
H2,7.27039879296524,6.392774468860418,156.0,220.0,5.517380194079086,15.6,60.853,1.9701811593091711,4.2298,0.1459099999999999,4.375710000000001
H2,7.27039879296524,6.392774468860418,156.0,1.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.56656,0.0001999999999999,3.5667600000000004
H2,7.27039879296524,6.392774468860418,156.0,2.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.56651,0.00034,3.56685
H2,7.27039879296524,6.392774468860418,156.0,3.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.56659,0.00039,3.5669699999999995
H2,7.27039879296524,6.392774468860418,156.0,4.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.56678,0.00035,3.56713
H2,7.27039879296524,6.392774468860418,156.0,5.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.56703,0.00029,3.56732
H2,7.27039879296524,6.392774468860418,156.0,6.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.56728,0.00026,3.5675400000000006
H2,7.27039879296524,6.392774468860418,156.0,7.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.5675100000000004,0.0003,3.56781
H2,7.27039879296524,6.392774468860418,156.0,8.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.56768,0.0004399999999999,3.56812
H2,7.27039879296524,6.392774468860418,156.0,9.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.56781,0.00066,3.56848
H2,7.27039879296524,6.392774468860418,156.0,10.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.5679700000000003,0.00093,3.5689
H2,7.27039879296524,6.392774468860418,156.0,24.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.592480000000001,0.0072299999999999,3.5997
H2,7.27039879296524,6.392774468860418,156.0,28.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.63871,0.00698,3.64569
H2,7.27039879296524,6.392774468860418,156.0,32.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.59159,0.01166,3.60324
H2,7.27039879296524,6.392774468860418,156.0,36.0,5.517380194079086,23.4,60.853,1.9701811593091711,2.8096,0.01709,2.82669
H2,7.27039879296524,6.392774468860418,156.0,40.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.31847,0.01789,3.33636
H2,7.27039879296524,6.392774468860418,156.0,44.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.90038,0.01984,3.92022
H2,7.27039879296524,6.392774468860418,156.0,48.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.03785,0.0257,3.06355
H2,7.27039879296524,6.392774468860418,156.0,52.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.28694,0.02907,3.31601
H2,7.27039879296524,6.392774468860418,156.0,56.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.76001,0.03147,3.79148
H2,7.27039879296524,6.392774468860418,156.0,60.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.68115,0.03474,3.71589
H2,7.27039879296524,6.392774468860418,156.0,64.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.33619,0.03989,3.37607
H2,7.27039879296524,6.392774468860418,156.0,68.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.56902,0.04312,3.612140000000001
H2,7.27039879296524,6.392774468860418,156.0,72.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.87888,0.04683,3.92571
H2,7.27039879296524,6.392774468860418,156.0,76.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.46063,0.05081,3.5114400000000003
H2,7.27039879296524,6.392774468860418,156.0,80.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.5283,0.0560299999999999,3.58433
H2,7.27039879296524,6.392774468860418,156.0,84.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.6836600000000006,0.05739,3.74105
H2,7.27039879296524,6.392774468860418,156.0,88.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.86381,0.0608299999999999,3.92464
H2,7.27039879296524,6.392774468860418,156.0,92.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.62895,0.06602,3.69497
H2,7.27039879296524,6.392774468860418,156.0,96.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.59114,0.0716,3.66274
H2,7.27039879296524,6.392774468860418,156.0,100.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.75763,0.07637,3.834000000000001
H2,7.27039879296524,6.392774468860418,156.0,104.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.80511,0.07521,3.88032
H2,7.27039879296524,6.392774468860418,156.0,108.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.990790000000001,0.07725,4.06803
H2,7.27039879296524,6.392774468860418,156.0,112.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.6129,0.08353,3.69643
H2,7.27039879296524,6.392774468860418,156.0,116.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.76796,0.0913399999999999,3.8593
H2,7.27039879296524,6.392774468860418,156.0,120.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.85519,0.09701,3.9522
H2,7.27039879296524,6.392774468860418,156.0,124.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.88253,0.09412,3.97664
H2,7.27039879296524,6.392774468860418,156.0,128.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.91574,0.09319,4.00893
H2,7.27039879296524,6.392774468860418,156.0,132.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.72956,0.09817,3.82772
H2,7.27039879296524,6.392774468860418,156.0,136.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.86682,0.10806,3.97488
H2,7.27039879296524,6.392774468860418,156.0,140.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.9186,0.11534,4.03394
H2,7.27039879296524,6.392774468860418,156.0,144.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.91531,0.11455,4.02986
H2,7.27039879296524,6.392774468860418,156.0,148.0,5.517380194079086,23.4,60.853,1.9701811593091711,4.00813,0.10943,4.11756
H2,7.27039879296524,6.392774468860418,156.0,152.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.82348,0.10904,3.93253
H2,7.27039879296524,6.392774468860418,156.0,156.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.94586,0.11792,4.06377
H2,7.27039879296524,6.392774468860418,156.0,160.0,5.517380194079086,23.4,60.853,1.9701811593091711,4.00328,0.1303,4.133579999999999
H2,7.27039879296524,6.392774468860418,156.0,164.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.96112,0.13585,4.09697
H2,7.27039879296524,6.392774468860418,156.0,168.0,5.517380194079086,23.4,60.853,1.9701811593091711,4.168329999999999,0.13097,4.299300000000001
H2,7.27039879296524,6.392774468860418,156.0,172.0,5.517380194079086,23.4,60.853,1.9701811593091711,3.9104,0.1230499999999999,4.03345
H2,7.27039879296524,6.392774468860418,156.0,176.0,5.517380194079086,23.4,60.853,1.9701811593091711,4.01929,0.12339,4.14268
H2,7.27039879296524,6.392774468860418,156.0,180.0,5.517380194079086,23.4,60.853,1.9701811593091711,4.09015,0.13491,4.22506
H2,7.27039879296524,6.392774468860418,156.0,184.0,5.517380194079086,23.4,60.853,1.9701811593091711,4.08457,0.14907,4.23364
H2,7.27039879296524,6.392774468860418,156.0,188.0,5.517380194079086,23.4,60.853,1.9701811593091711,4.08581,0.15363,4.23944
H2,7.27039879296524,6.392774468860418,156.0,192.0,5.517380194079086,23.4,60.853,1.9701811593091711,4.12863,0.14563,4.27426
H2,7.27039879296524,6.392774468860418,156.0,196.0,5.517380194079086,23.4,60.853,1.9701811593091711,4.0773,0.13441,4.21171
H2,7.27039879296524,6.392774468860418,156.0,200.0,5.517380194079086,23.4,60.853,1.9701811593091711,4.17905,0.1333299999999999,4.31238
H2,7.27039879296524,6.392774468860418,156.0,204.0,5.517380194079086,23.4,60.853,1.9701811593091711,4.22102,0.14566,4.366680000000001
H2,7.27039879296524,6.392774468860418,156.0,208.0,5.517380194079086,23.4,60.853,1.9701811593091711,4.1926000000000005,0.16235,4.3549500000000005
H2,7.27039879296524,6.392774468860418,156.0,212.0,5.517380194079086,23.4,60.853,1.9701811593091711,4.27055,0.16908,4.43963
H2,7.27039879296524,6.392774468860418,156.0,216.0,5.517380194079086,23.4,60.853,1.9701811593091711,4.18208,0.16066,4.34273
H2,7.27039879296524,6.392774468860418,156.0,220.0,5.517380194079086,23.4,60.853,1.9701811593091711,4.2464,0.14587,4.39226
H2,7.27039879296524,6.392774468860418,156.0,1.0,5.517380194079086,31.200000000000003,60.853,1.9701811593091711,3.56652,0.00025,3.56677
H2,7.27039879296524,6.392774468860418,156.0,2.0,5.517380194079086,31.200000000000003,60.853,1.9701811593091711,3.56644,0.0004399999999999,3.5668800000000003
H2,7.27039879296524,6.392774468860418,156.0,3.0,5.517380194079086,31.200000000000003,60.853,1.9701811593091711,3.5665,0.00053,3.5670200000000003
H2,7.27039879296524,6.392774468860418,156.0,4.0,5.517380194079086,31.200000000000003,60.853,1.9701811593091711,3.56668,0.00051,3.56719
H2,7.27039879296524,6.392774468860418,156.0,5.0,5.517380194079086,31.200000000000003,60.853,1.9701811593091711,3.5669500000000003,0.0004399999999999,3.56739
H2,7.27039879296524,6.392774468860418,156.0,6.0,5.517380194079086,31.200000000000003,60.853,1.9701811593091711,3.56726,0.00036,3.56762
H2,7.27039879296524,6.392774468860418,156.0,7.0,5.517380194079086,31.200000000000003,60.853,1.9701811593091711,3.56756,0.00033,3.56789
H2,7.27039879296524,6.392774468860418,156.0,8.0,5.517380194079086,31.200000000000003,60.853,1.9701811593091711,3.56784,0.00036,3.5682
H2,7.27039879296524,6.392774468860418,156.0,9.0,5.517380194079086,31.200000000000003,60.853,1.9701811593091711,3.56807,0.00048,3.56855
H2,7.27039879296524,6.392774468860418,156.0,10.0,5.517380194079086,31.200000000000003,60.853,1.9701811593091711,3.56828,0.00066,3.56894
H2,7.27039879296524,6.392774468860418,156.0,24.0,5.517380194079086,31.200000000000003,60.853,1.9701811593091711,3.58087,0.00603,3.58691
H2,7.27039879296524,6.392774468860418,156.0,28.0,5.517380194079086,31.200000000000003,60.853,1.9701811593091711,3.60654,0.00623,3.61277
H2,7.27039879296524,6.392774468860418,156.0,32.0,5.517380194079086,31.200000000000003,60.853,1.9701811593091711,3.65961,0.00759,3.6672
H2,7.27039879296524,6.392774468860418,156.0,36.0,5.517380194079086,31.200000000000003,60.853,1.9701811593091711,3.58962,0.0132699999999999,3.60289
H2,7.27039879296524,6.392774468860418,156.0,40.0,5.517380194079086,31.200000000000003,60.853,1.9701811593091711,2.80565,0.01684,2.82249
H2,7.27039879296524,6.392774468860418,156.0,44.0,5.517380194079086,31.200000000000003,60.853,1.9701811593091711,3.2719400000000003,0.0169299999999999,3.28887
H2,7.27039879296524,6.392774468860418,156.0,48.0,5.517380194079086,31.200000000000003,60.853,1.9701811593091711,3.88927,0.01931,3.90858
H2,7.27039879296524,6.392774468860418,156.0,52.0,5.517380194079086,31.200000000000003,60.853,1.9701811593091711,3.22104,0.02535,3.2463800000000003
H2,7.27039879296524,6.392774468860418,156.0,56.0,5.517380194079086,31.200000000000003,60.853,1.9701811593091711,3.17788,0.0287499999999999,3.20663
H2,7.27039879296524,6.392774468860418,156.0,60.0,5.517380194079086,31.200000000000003,60.853,1.9701811593091711,3.61413,0.03075,3.64488
